sampleTimeStamp.seconds;sampleTimeStamp.microseconds;lat;lon;speed;accel_x;accel_y;accel_z
90066558;395689;37.718785523;1.957926635;5.862205;-2.237096;0.09068477;0.1296146
90066558;445990;37.718786353;1.957921894;5.971395;-1.933687;-0.191207;0.2010542
90066558;495751;37.718787198;1.957917069;6.076645;-2.109204;-0.1742303;0.1281202
90066558;545669;37.718788059;1.957912162;6.178421;-2.041632;-0.006220391;-0.3268931
90066558;595715;37.718788933;1.957907175;6.279117;-2.207686;0.3005482;-0.1513072
90066558;645692;37.71878982;1.957902109;6.374822;-1.981854;-0.08751832;-0.3124717
90066558;695750;37.71879072;1.957896966;6.47093;-1.857674;-0.3109626;-0.1746677
90066558;745714;37.718791634;1.957891746;6.570427;-1.994612;0.02791799;0.3382928
90066558;795755;37.718792562;1.957886447;6.668154;-1.89055;0.03216014;0.2336864
90066558;845705;37.718793503;1.95788107;6.767932;-2.070597;-0.01847148;0.352583
90066558;895720;37.718794458;1.957875614;6.86424;-1.933442;-0.0804479;-0.1098254
90066558;945687;37.718795427;1.957870082;6.961026;-2.090726;0.1375539;0.2129094
90066558;995745;37.718796408;1.957864474;7.052433;-1.770826;-0.3037702;-0.3788412
90066559;45678;37.718797406;1.957858795;7.146557;-1.832576;0.1106722;-0.1184717
90066559;95685;37.718798416;1.95785304;7.238949;-1.816264;-0.05804622;-0.04677522
90066559;145749;37.718799438;1.957847212;7.331886;-1.882634;0.07345512;0.1913924
90066559;195724;37.718800472;1.95784131;7.420951;-1.589556;0.1339842;0.1766619
90066559;245693;37.718801517;1.957835341;7.503785;-1.458568;-0.02457372;-0.06838903
90066559;295723;37.718802569;1.957829312;7.577513;-1.50659;0.1292439;0.2568457
90066559;345682;37.71880363;1.95782323;7.64062;-1.32992;-0.001301231;0.3283374
90066559;395698;37.718804699;1.957817099;7.696391;-0.8056066;-0.1853526;0.200657
90066559;446061;37.718805777;1.957810926;7.747325;-0.9268732;-0.005778466;0.4397461
90066559;495676;37.71880686;1.957804713;7.796356;-0.9697844;-0.02598125;0.4875483
90066559;545722;37.718807952;1.957798465;7.841803;-0.8339149;-0.03456162;0.2867293
90066559;595711;37.71880905;1.957792179;7.888384;-0.9396116;-0.06807529;-0.0811997
90066559;645753;37.718810157;1.957785857;7.935047;-1.091545;0.1663837;-0.08428219
90066559;695758;37.718811268;1.957779498;7.978752;-0.8750178;-0.09198063;-0.2391214
90066559;745695;37.718812385;1.957773104;8.022559;-0.8021161;-0.2094736;0.1422566
90066559;795769;37.718813507;1.957766674;8.066351;-0.9052757;-0.09435558;0.07286965
90066559;845715;37.718814634;1.95776021;8.108487;-0.9046215;0.1742421;0.09663893
90066559;895715;37.718815765;1.957753711;8.151216;-0.7338373;0.02444443;0.09266179
90066559;945767;37.718816903;1.957747177;8.197021;-0.9421503;0.1594324;0.4280184
